restaurant,dish,price,rating,veg
fortunes.json,Smoky Chicken Puff,80.0,4.7,
fortunes.json,Biryani Gosht ( 1kg ) ,1429.0,5.0,
fortunes.json,Kolkata Style Murgh Biryani ( 1kg ),1319.0,3.5,
fortunes.json,Biryani Murg ( 1kg ) ,1319.0,,
fortunes.json,Choice Of Paneer,425.0,4.2,1.0
fortunes.json,Kosha Khashir Mangsho (1/2kg),879.0,4.2,
fortunes.json,Biryani Murgh (1/2kg ),849.0,4.9,
fortunes.json,Mutton Biryani Gosht ( 1/2 Kg ),989.0,5.0,
fortunes.json,Dal-E-Fortune Signature,375.0,4.8,1.0
fortunes.json,Kolkata Style Murgh Biryani (1/2 Kg ),769.0,,
fortunes.json,Mutton Roganjosh,525.0,4.1,
fortunes.json,Bengali Mishti Pulao (1/2kg ),659.0,5.0,1.0
fortunes.json,Murgh,450.0,4.7,
fortunes.json,Jhinga Malai Curry (Prawn),625.0,5.0,
fortunes.json,Laal Maans Signature,525.0,5.0,
fortunes.json,Choice Of Kofta,425.0,3.5,1.0
fortunes.json,Chilli Chicken (350Gms ),425.0,3.7,
fortunes.json,Macchi Lababdar,500.0,2.8,
fortunes.json,Mushroom Mutter,425.0,4.6,1.0
fortunes.json,Methi Palak Aur Papadi Subzi Signature,375.0,4.5,1.0
fortunes.json,Yellow Dal Fry,300.0,,1.0
fortunes.json,Kadai-Ka-Karishma,375.0,4.6,1.0
fortunes.json,Aloo,300.0,5.0,1.0
fortunes.json,Bengali Mishti Pulao (1kg),989.0,,1.0
fortunes.json,Chicken & Egg Fried Rice With Chicken Manchurian,250.0,4.7,
fortunes.json,Chicken & Egg Noodles With Chilli Chicken,250.0,4.3,
fortunes.json,Non- Veg Fried Rice (1k)g,1319.0,5.0,
fortunes.json,Veg Fried Rice ( 1kg ) ,989.0,,1.0
fortunes.json,Veg Hakka Noodles  With Chilli Paneer,225.0,4.6,1.0
fortunes.json,Chilli Garlic Fried Rice With Veg Manchurian,225.0,4.7,1.0
fortunes.json,Kaffir Lime Infused Grilled Prawn,650.0,4.2,
fortunes.json,Veg Fried Rice ( 1/2kg ) ,659.0,4.7,1.0
fortunes.json,Prawns In Chilli Basil Sauce,650.0,3.5,
fortunes.json,Lamb Rendang Curry,550.0,4.6,
fortunes.json,Fish In Hot Garlic Sauce,500.0,4.4,
fortunes.json,Manchurian,375.0,,1.0
fortunes.json,Thai Chicken Curry Signature,425.0,3.7,
fortunes.json,Chicken,425.0,4.3,
fortunes.json,Chongquing Tofu,400.0,4.9,1.0
fortunes.json,Tangy Chilli Chicken (350Gms ),425.0,,
fortunes.json,Thai Green Vegetable Curry Signature,375.0,4.1,1.0
fortunes.json,Kung Pao Vegetables Signature,375.0,3.5,1.0
fortunes.json,Gosht Biryani,425.0,4.2,
fortunes.json,Murgh Biryani,400.0,4.2,
fortunes.json,Subz Biryani,350.0,3.5,1.0
fortunes.json,MaggieS Farm,550.0,5.0,
fortunes.json,Grilled Fish Signature,500.0,4.0,
fortunes.json,Pasta,425.0,4.7,1.0
fortunes.json,Rosemary Grilled Chicken,550.0,4.4,
fortunes.json,Baked Vegetables,425.0,,1.0
fortunes.json,Vegetable Lasagne,425.0,4.6,1.0
fortunes.json,Roomali Roti,60.0,4.6,1.0
fortunes.json,Naan,60.0,4.7,1.0
fortunes.json,Masala Kulcha,90.0,5.0,1.0
fortunes.json,Tandoori Roti,60.0,4.7,1.0
fortunes.json,Parantha,60.0,3.4,1.0
fortunes.json,Rasmalai,165.0,4.0,1.0
fortunes.json,Chennar Payesh,165.0,4.4,1.0
fortunes.json,Bharwan Gulab Jamun,165.0,3.2,1.0
fortunes.json,Kesari Phirni,165.0,4.3,1.0
fortunes.json,Rossogolla Locavore,150.0,2.4,1.0
fortunes.json,Caramel Custard,250.0,3.7,
fortunes.json,Dual Choco Pastry,90.0,4.7,1.0
fortunes.json,White Choco Flakes Pastry,90.0,4.5,1.0
fortunes.json,Walnut Brownie,90.0,4.5,1.0
fortunes.json,Pastry,90.0,4.4,1.0
fortunes.json,Cheese Cakes (Mango/Strawberry),85.0,4.6,1.0
fortunes.json,Vegetable Spring Rolls,300.0,4.5,1.0
fortunes.json,Keema Pao,450.0,4.3,
fortunes.json,Chicken Spring Rolls,350.0,5.0,
fortunes.json,Pao Bhaji,275.0,4.7,1.0
fortunes.json,Chick Peas Salt & Pepper,300.0,,1.0
fortunes.json,Fish Fingers,450.0,4.3,
fortunes.json,Gosht Box Meal,350.0,3.7,
fortunes.json,Paneer Combo Meal,300.0,4.7,1.0
fortunes.json,Murgh Box Meal,325.0,4.8,
fortunes.json,Egg Box Meal,275.0,,
fortunes.json,Subz Box Meal,275.0,4.1,1.0
fortunes.json,Smoky Chicken Puff,80.0,4.7,
fortunes.json,Chilli Chicken Hot and Spicy,425.0,,
fortunes.json,Almond Choco Chips  (6 Nos),90.0,5.0,1.0
fortunes.json,Tangy Paneer Tikka Puff Signature,80.0,5.0,1.0
fortunes.json,Smocky Chicken Puff,80.0,,
fortunes.json,Raisin And Cashew Cookies (6 Nos),90.0,5.0,1.0
fortunes.json,Veg Puff,80.0,4.7,1.0
fortunes.json,Mixed Fruit Almond Cake  Slice -02 Slices,90.0,4.5,1.0
fortunes.json,Banana And Walnut Cake Slice  - 02 Slices,90.0,4.4,1.0
fortunes.json,Cup Cake 1 No,60.0,4.6,
fortunes.json,Chinese Chicken Box,350.0,4.8,
fortunes.json,Thai Chicken Box,350.0,4.0,
fortunes.json,Chinese Veg Box,275.0,4.8,1.0
fortunes.json,Chicken Box Meal,325.0,4.3,
fortunes.json,Cottage Cheese Box Meal,350.0,4.9,1.0
fortunes.json,Croissant,75.0,4.5,1.0
fortunes.json,Doughnut,85.0,3.7,1.0
fortunes.json,Muffins,85.0,,
fortunes.json,Chocolate Mud Pie,85.0,3.9,
fortunes.json,Murgh Tikka,475.0,3.9,
fortunes.json,Sartaj-E-Tandoor,500.0,,
fortunes.json,Murgh Malai Tikka,475.0,5.0,
fortunes.json,Sigri-Ka-Macchi,550.0,5.0,
fortunes.json,Subz Seekh Gilafi,400.0,3.4,1.0
fortunes.json,Aloo Nazakat,400.0,3.5,1.0
fortunes.json,Makhmali Paneer Tikka,425.0,4.5,1.0
fortunes.json,Nonveg Sandwich,250.0,,
fortunes.json,Poori Bhaji,250.0,,1.0
fortunes.json,Idli Sambar Chutney,250.0,,1.0
fortunes.json,Medu Vada,250.0,,1.0
fortunes.json,Uttapam,250.0,,1.0
lemon_grass.json,Chicken Jeera Kebab ,488.0,,
lemon_grass.json,Ajwain Fish Tikka,519.0,,
lemon_grass.json,Ajwain Fish Tikka ,519.0,,
lemon_grass.json,Paneer,389.0,,1.0
lemon_grass.json,Mushroom,423.0,,1.0
lemon_grass.json,Veg Darbari  ,358.0,,1.0
